Date,aapl,spx,10y,wti
2/23/2018,175.5,2747.3,2.868,63.55
2/16/2018,172.43,2732.22,2.876,61.68
2/9/2018,156.41,2619.55,2.852,59.2
2/2/2018,159.8483,2762.13,2.842,65.45
1/26/2018,170.8136,2872.87,2.661,66.14
1/19/2018,177.7354,2810.3,2.66,63.37
1/12/2018,176.3709,2786.24,2.548,64.3
1/5/2018,174.2894,2743.15,2.477,61.44
12/29/2017,168.5428,2673.61,2.406,60.42
12/22/2017,174.2993,2683.34,2.482,58.47
12/15/2017,173.2636,2675.81,2.354,57.3
12/8/2017,168.6823,2651.5,2.377,57.36
12/1/2017,170.3554,2642.22,2.362,58.36
11/24/2017,174.2595,2602.42,2.343,58.95
11/17/2017,169.4591,2578.85,2.344,56.55
11/10/2017,173.9607,2582.3,2.399,56.74
11/3/2017,171.1842,2587.84,2.333,55.64
10/27/2017,161.8062,2581.07,2.407,53.9
10/20/2017,155.0581,2575.21,2.385,51.47
10/13/2017,155.7925,2553.17,2.274,51.45
10/6/2017,154.1154,2549.33,2.36,49.29
9/29/2017,152.9444,2519.36,2.334,51.67
9/22/2017,150.7314,2502.22,2.251,50.66
9/15/2017,158.6604,2500.23,2.203,49.89
9/8/2017,157.42,2461.43,2.052,47.48
9/1/2017,162.7986,2476.55,2.167,47.29
8/25/2017,158.6406,2443.05,2.167,47.87
8/18/2017,156.2986,2425.55,2.195,48.51
8/11/2017,156.2787,2441.32,2.19,48.82
8/4/2017,154.59,2476.83,2.263,49.58
7/28/2017,147.7793,2472.1,2.29,49.71
7/21/2017,148.5404,2472.54,2.238,45.77
7/14/2017,147.3246,2459.27,2.333,46.54
7/7/2017,142.5205,2425.18,2.386,44.23
6/30/2017,142.3624,2423.41,2.305,46.04
6/23/2017,144.5963,2438.3,2.143,43.01
6/16/2017,140.6325,2433.15,2.152,44.74
6/9/2017,147.2653,2431.77,2.201,45.83
6/2/2017,153.6608,2439.07,2.16,47.66
5/26/2017,151.842,2415.82,2.247,49.8
5/19/2017,151.2983,2381.73,2.235,50.33
5/12/2017,154.3033,2390.9,2.327,47.84
5/5/2017,146.6402,2399.29,2.35,46.22
4/28/2017,141.4129,2384.2,2.281,49.33
4/21/2017,140.0544,2348.69,2.249,49.62
4/14/2017,138.8534,2328.95,2.238,53.18
4/7/2017,141.1078,2355.54,2.383,52.24
3/31/2017,141.4228,2362.72,2.388,50.6
3/24/2017,138.4498,2343.98,2.413,47.97
3/17/2017,137.8099,2378.25,2.501,48.78
3/10/2017,136.9732,2372.6,2.575,48.49
3/3/2017,137.6032,2383.12,2.479,53.33
2/24/2017,134.5318,2367.34,2.313,53.99
2/17/2017,133.6064,2351.16,2.416,53.4
2/10/2017,130.0625,2316.1,2.408,53.86
2/3/2017,126.5213,2297.42,2.466,53.83
1/27/2017,119.5326,2294.69,2.485,53.17
1/20/2017,117.6213,2271.31,2.468,52.42
1/13/2017,116.6803,2274.64,2.397,52.37
1/6/2017,115.5727,2276.98,2.42,53.99
12/30/2016,113.5241,2238.83,2.445,53.72
12/23/2016,114.2103,2263.79,2.538,53.02
12/16/2016,113.6712,2258.07,2.593,51.9
12/9/2016,111.6912,2259.53,2.468,51.5
12/2/2016,107.7215,2191.95,2.384,51.68
11/25/2016,109.574,2213.35,2.358,46.06
11/18/2016,107.8783,2181.9,2.356,45.69
11/11/2016,106.2806,2164.45,2.151,43.41
11/4/2016,106.6825,2085.18,1.777,44.07
10/28/2016,110.8964,2126.41,1.848,48.7
10/21/2016,113.7049,2141.16,1.736,50.85
10/14/2016,114.7093,2132.98,1.799,50.35
10/7/2016,111.2279,2153.74,1.719,49.81
9/30/2016,110.243,2168.27,1.595,48.24
9/23/2016,109.9115,2164.69,1.619,44.48
9/16/2016,112.0666,2139.16,1.693,43.03
9/9/2016,100.5693,2127.81,1.676,45.88
9/2/2016,105.0551,2179.98,1.603,44.44
8/26/2016,104.2847,2169.04,1.63,47.64
8/19/2016,106.6446,2183.87,1.579,48.52
8/12/2016,105.4939,2184.05,1.514,44.49
8/5/2016,104.8113,2182.87,1.589,41.8
7/29/2016,101.075,2173.6,1.454,41.6
7/22/2016,95.6919,2175.03,1.567,44.19
7/15/2016,95.8083,2161.74,1.552,45.95
7/8/2016,93.7715,2129.9,1.359,45.41
7/1/2016,93.0053,2102.95,1.445,48.99
6/24/2016,90.5902,2037.41,1.561,47.64
6/17/2016,92.4621,2071.22,1.609,47.98
6/10/2016,95.8568,2096.07,1.641,49.07
6/3/2016,94.9742,2099.13,1.701,48.62
5/27/2016,97.3311,2099.06,1.852,49.33
5/20/2016,92.3554,2052.32,1.839,47.75
5/13/2016,87.7968,2046.61,1.701,46.21
5/6/2016,89.9306,2057.14,1.78,44.66
4/29/2016,90.3697,2065.3,1.834,45.92
4/22/2016,101.8805,2091.58,1.889,43.73
4/15/2016,105.9005,2080.73,1.753,40.36
4/8/2016,104.7533,2047.6,1.718,39.72
4/1/2016,106.0355,2072.78,1.771,36.79
3/25/2016,101.8708,2035.94,1.901,39.46
3/18/2016,102.1118,2049.58,1.874,39.44
3/11/2016,98.5834,2022.19,1.985,38.5
3/4/2016,99.3064,1999.99,1.875,35.92
2/26/2016,93.4258,1948.05,1.763,32.78
2/19/2016,92.587,1917.78,1.746,29.64
2/12/2016,90.6107,1864.78,1.749,29.44
2/5/2016,90.6397,1880.05,1.837,30.89
1/29/2016,93.3339,1940.24,1.922,33.62
1/22/2016,97.2459,1906.9,2.053,32.19
1/15/2016,93.1325,1880.33,2.036,29.42
1/8/2016,92.9695,1922.03,2.116,33.16
1/1/2016,100.9279,2043.94,2.27,37.04
12/25/2015,103.5839,2060.99,2.242,38.1
12/18/2015,101.6662,2005.55,2.205,34.73
12/11/2015,108.5219,2012.37,2.128,35.62
12/4/2015,114.1312,2091.69,2.27,39.97
11/27/2015,112.9614,2090.11,2.221,41.71
11/20/2015,114.3901,2089.17,2.263,40.39
11/13/2015,107.7165,2023.04,2.267,40.74
11/6/2015,116.0776,2099.2,2.326,44.29
10/30/2015,114.0934,2079.36,2.143,46.59
10/23/2015,113.6925,2075.15,2.088,44.6
10/16/2015,106.0162,2033.11,2.034,47.26
10/9/2015,107.0473,2014.89,2.089,49.63
10/2/2015,105.3861,1951.36,1.994,45.54
9/25/2015,109.5202,1931.34,2.163,45.7
9/18/2015,108.3172,1958.03,2.134,44.68
9/11/2015,109.0428,1961.05,2.189,44.63
9/4/2015,104.3263,1921.22,2.125,46.05
8/28/2015,108.1644,1988.87,2.182,45.22
8/21/2015,100.9751,1970.89,2.037,40.45
8/14/2015,110.7136,2091.54,2.199,42.5
8/7/2015,110.2935,2077.57,2.163,43.87
7/31/2015,115.2901,2103.84,2.181,47.12
7/24/2015,118.3316,2079.65,2.263,48.14
7/17/2015,123.1979,2126.64,2.348,50.89
7/10/2015,117.1721,2076.62,2.398,52.74
7/3/2015,120.1755,2076.78,2.383,56.93
6/26/2015,120.4701,2101.49,2.474,59.63
6/19/2015,120.3276,2109.99,2.259,59.61
6/12/2015,120.8693,2094.11,2.393,59.96
6/5/2015,122.276,2092.83,2.408,59.13
5/29/2015,123.8252,2107.39,2.122,60.3
5/22/2015,125.9733,2126.06,2.21,59.72
5/15/2015,122.39,2122.73,2.143,59.69
5/8/2015,121.297,2116.1,2.149,59.39
5/1/2015,122.0513,2108.29,2.114,59.15
4/24/2015,123.3102,2117.69,1.909,57.15
4/17/2015,118.076,2081.18,1.866,55.74
4/10/2015,120.3003,2102.06,1.948,51.64
4/3/2015,118.6155,2066.96,1.84,49.14
3/27/2015,116.6563,2061.02,1.962,48.87
3/20/2015,119.1645,2108.1,1.931,45.72
3/13/2015,116.9781,2053.4,2.115,44.84
3/6/2015,119.827,2071.26,2.242,49.61
2/27/2015,121.5875,2104.5,1.994,49.76
2/20/2015,122.5672,2110.3,2.113,50.34
2/13/2015,120.2813,2096.99,2.051,52.78
2/6/2015,112.5674,2055.47,1.958,51.69
1/30/2015,110.4561,1994.99,1.642,48.24
1/23/2015,106.5153,2051.82,1.798,45.59
1/16/2015,99.9253,2019.42,1.838,48.69
